time,q1_healthy,q2_healthy,q3_healthy,q4_healthy,omega1_healthy,omega2_healthy,omega3_healthy,wheel1_i_healthy,wheel1_w_healthy,wheel2_i_healthy,wheel2_w_healthy,wheel3_i_healthy,wheel3_w_healthy,wheel4_i_healthy,wheel4_w_healthy,q1_faulty,q2_faulty,q3_faulty,q4_faulty,omega1_faulty,omega2_faulty,omega3_faulty,wheel1_i_faulty,wheel1_w_faulty,wheel2_i_faulty,wheel2_w_faulty,wheel3_i_faulty,wheel3_w_faulty,wheel4_i_faulty,wheel4_w_faulty,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,-0.72069,0.0094505,0.11784,-0.70577,-0.00065878,-0.0010797,-0.0012416,-0.57101,0.13791,1.7227,-0.017402,-1.1084,-0.71501,-0.85484,0.127,-0.69579,0.012938,0.12187,-0.68694,-0.0056961,0.0051227,-0.011846,-0.089939,1.042,-0.010468,1.0484,-1.4153,-0.21512,0.26822,-0.85304
0.2,-0.70485,0.0029881,0.11851,-0.69833,-0.00043469,-0.00012952,0.0070543,0.0054709,1.4842,-1.9003,1.5547,0.75609,-0.078967,-0.90166,-0.022376,-0.70096,0.0050827,0.13137,-0.68685,-0.0082419,-0.0085129,8.1221e-05,2.1126,1.5753,-1.7289,-0.19672,-2.0918,-0.24232,-1.4361,-1.1055
0.3,-0.70829,0.01591,0.12254,-0.71808,0.0029966,-0.0013527,-0.0037891,-0.28458,0.90307,2.0806,-0.10139,1.4285,-1.0769,-0.50253,-2.2953,-0.72318,-0.012916,0.11767,-0.69636,-0.0079299,-0.0047702,-0.0083524,0.69834,1.2209,0.89672,0.1963,-0.93599,-2.5185,-1.6731,0.13445
0.4,-0.70391,-0.0072922,0.12396,-0.70218,-0.0073453,0.0031474,0.0081821,-0.5922,0.35772,-0.32416,-0.33225,-1.4166,0.033272,-1.0117,-0.21528,-0.70622,-0.0050965,0.12218,-0.70038,-0.0051775,-0.015417,0.0093144,0.090443,0.51196,1.4705,-0.95383,-4.1049,-2.0649,-1.7693,-0.016052
0.5,-0.72095,0.005683,0.11916,-0.68514,-0.0078066,0.000995,0.0019524,0.17533,0.8878,0.41822,-2.3399,-1.3382,-2.393,-0.85173,0.62075,-0.69553,-0.0057574,0.12263,-0.6968,-0.003975,-0.0044765,0.0042572,1.2176,0.61474,0.31332,-2.3928,-1.2981,-0.7521,-3.037,-1.7897
0.6,-0.69775,0.003144,0.10277,-0.67806,-0.00072133,-0.0072481,0.0090674,0.52318,2.4778,-0.34679,2.1086,0.75159,0.25436,-1.9997,-1.7543,-0.71393,-0.010044,0.12509,-0.70054,-0.006282,-0.0061323,-0.00038367,-0.0258,1.0061,1.0157,-1.5184,-1.402,-1.113,-0.26785,-1.5818
0.7,-0.6979,0.017274,0.12706,-0.70456,-0.01697,0.0064963,0.010828,2.7401,0.8221,0.68293,-0.80915,-1.2794,-1.8464,-2.2699,-1.032,-0.71555,0.0016332,0.13637,-0.69884,-0.013756,-0.0022906,0.0035251,-0.67108,2.0973,0.47296,-0.80376,-2.6538,-2.2741,-3.2937,-1.1486
0.8,-0.70453,-0.0068493,0.11087,-0.69586,-0.0096324,0.0015534,0.012072,-0.1154,1.7204,0.75008,-0.24018,-1.1769,-2.0964,0.30902,-1.0855,-0.69965,0.017751,0.12122,-0.67779,-0.003475,-0.012202,0.0090648,0.63675,2.3307,0.24079,0.90741,-1.8755,-2.2536,-0.24571,-0.78111
0.9,-0.69658,0.017723,0.11052,-0.70419,-0.016517,-0.0046765,0.0031846,2.4245,3.895,-0.042902,-0.20303,-0.69275,-2.0163,0.36107,-3.439,-0.68512,0.0058452,0.12054,-0.69343,-0.015896,-0.0091774,0.022743,0.82404,1.4165,-1.0049,0.16009,-0.81324,-2.5913,-1.4348,-2.8665
