num,scenario,kt,vbus,ktInception,vbusInception,ktDuration,vbusDuration,ktSeverity,vbusSeverity
143,0,0,0,0,0,0,0,0.029,6
144,0,0,0,0,0,0,0,0.029,6
145,0,0,0,0,0,0,0,0.029,6
146,0,0,0,0,0,0,0,0.029,6
147,0,0,0,0,0,0,0,0.029,6
148,0,0,0,0,0,0,0,0.029,6
149,0,0,0,0,0,0,0,0.029,6
150,0,0,0,0,0,0,0,0.029,6
151,0,0,0,0,0,0,0,0.029,6
152,0,0,0,0,0,0,0,0.029,6
153,0,0,0,0,0,0,0,0.029,6
154,0,0,0,0,0,0,0,0.029,6
155,0,0,0,0,0,0,0,0.029,6
156,0,0,0,0,0,0,0,0.029,6
157,0,0,0,0,0,0,0,0.029,6
158,0,0,0,0,0,0,0,0.029,6
159,0,0,0,0,0,0,0,0.029,6
160,0,0,0,0,0,0,0,0.029,6
161,0,0,0,0,0,0,0,0.029,6
162,0,0,0,0,0,0,0,0.029,6
163,0,0,0,0,0,0,0,0.029,6
164,0,0,0,0,0,0,0,0.029,6
165,0,0,0,0,0,0,0,0.029,6
166,0,0,0,0,0,0,0,0.029,6
167,0,0,0,0,0,0,0,0.029,6
168,0,0,0,0,0,0,0,0.029,6
169,0,0,0,0,0,0,0,0.029,6
170,0,0,0,0,0,0,0,0.029,6
171,0,0,0,0,0,0,0,0.029,6
172,0,0,0,0,0,0,0,0.029,6
173,0,0,0,0,0,0,0,0.029,6
174,0,0,0,0,0,0,0,0.029,6
175,0,0,0,0,0,0,0,0.029,6
176,0,0,0,0,0,0,0,0.029,6
177,0,0,0,0,0,0,0,0.029,6
178,0,0,0,0,0,0,0,0.029,6
179,0,0,0,0,0,0,0,0.029,6
180,0,0,0,0,0,0,0,0.029,6
181,0,0,0,0,0,0,0,0.029,6
182,0,0,0,0,0,0,0,0.029,6
183,0,0,0,0,0,0,0,0.029,6
184,0,0,0,0,0,0,0,0.029,6
185,0,0,0,0,0,0,0,0.029,6
186,0,0,0,0,0,0,0,0.029,6
187,0,0,0,0,0,0,0,0.029,6
188,0,0,0,0,0,0,0,0.029,6
189,0,0,0,0,0,0,0,0.029,6
190,0,0,0,0,0,0,0,0.029,6
191,0,0,0,0,0,0,0,0.029,6
192,0,0,0,0,0,0,0,0.029,6
193,0,0,0,0,0,0,0,0.029,6
194,0,0,0,0,0,0,0,0.029,6
195,0,0,0,0,0,0,0,0.029,6
196,0,0,0,0,0,0,0,0.029,6
197,0,0,0,0,0,0,0,0.029,6
198,0,0,0,0,0,0,0,0.029,6
199,0,0,0,0,0,0,0,0.029,6
200,0,0,0,0,0,0,0,0.029,6
201,0,0,0,0,0,0,0,0.029,6
202,0,0,0,0,0,0,0,0.029,6
203,0,0,0,0,0,0,0,0.029,6
204,0,0,0,0,0,0,0,0.029,6
205,0,0,0,0,0,0,0,0.029,6
206,0,0,0,0,0,0,0,0.029,6
207,0,0,0,0,0,0,0,0.029,6
208,0,0,0,0,0,0,0,0.029,6
209,0,0,0,0,0,0,0,0.029,6
210,0,0,0,0,0,0,0,0.029,6
211,0,0,0,0,0,0,0,0.029,6
212,0,0,0,0,0,0,0,0.029,6
213,0,0,0,0,0,0,0,0.029,6
214,0,0,0,0,0,0,0,0.029,6
215,0,0,0,0,0,0,0,0.029,6
216,0,0,0,0,0,0,0,0.029,6
217,0,0,0,0,0,0,0,0.029,6
218,0,0,0,0,0,0,0,0.029,6
219,0,0,0,0,0,0,0,0.029,6
220,0,0,0,0,0,0,0,0.029,6
221,0,0,0,0,0,0,0,0.029,6
222,0,0,0,0,0,0,0,0.029,6
223,0,0,0,0,0,0,0,0.029,6
224,0,0,0,0,0,0,0,0.029,6
225,0,0,0,0,0,0,0,0.029,6
226,0,0,0,0,0,0,0,0.029,6
227,0,0,0,0,0,0,0,0.029,6
228,0,0,0,0,0,0,0,0.029,6
229,0,0,0,0,0,0,0,0.029,6
230,0,0,0,0,0,0,0,0.029,6
231,0,0,0,0,0,0,0,0.029,6
232,0,0,0,0,0,0,0,0.029,6
233,0,0,0,0,0,0,0,0.029,6
234,0,0,0,0,0,0,0,0.029,6
235,0,0,0,0,0,0,0,0.029,6
236,0,0,0,0,0,0,0,0.029,6
237,0,0,0,0,0,0,0,0.029,6
238,0,0,0,0,0,0,0,0.029,6
239,0,0,0,0,0,0,0,0.029,6
240,0,0,0,0,0,0,0,0.029,6
241,0,0,0,0,0,0,0,0.029,6
242,0,0,0,0,0,0,0,0.029,6
243,0,0,0,0,0,0,0,0.029,6
244,0,0,0,0,0,0,0,0.029,6
245,0,0,0,0,0,0,0,0.029,6
246,0,0,0,0,0,0,0,0.029,6
247,0,0,0,0,0,0,0,0.029,6
248,0,0,0,0,0,0,0,0.029,6
249,0,0,0,0,0,0,0,0.029,6
250,0,0,0,0,0,0,0,0.029,6
251,0,0,0,0,0,0,0,0.029,6
252,0,0,0,0,0,0,0,0.029,6
253,0,0,0,0,0,0,0,0.029,6
254,0,0,0,0,0,0,0,0.029,6
255,0,0,0,0,0,0,0,0.029,6
256,0,0,0,0,0,0,0,0.029,6
257,0,0,0,0,0,0,0,0.029,6
258,0,0,0,0,0,0,0,0.029,6
259,0,0,0,0,0,0,0,0.029,6
260,0,0,0,0,0,0,0,0.029,6
261,0,0,0,0,0,0,0,0.029,6
262,0,0,0,0,0,0,0,0.029,6
263,0,0,0,0,0,0,0,0.029,6
264,0,0,0,0,0,0,0,0.029,6
265,0,0,0,0,0,0,0,0.029,6
266,0,0,0,0,0,0,0,0.029,6
267,0,0,0,0,0,0,0,0.029,6
268,0,0,0,0,0,0,0,0.029,6
269,0,0,0,0,0,0,0,0.029,6
270,0,0,0,0,0,0,0,0.029,6
271,0,0,0,0,0,0,0,0.029,6
272,0,0,0,0,0,0,0,0.029,6
273,0,0,0,0,0,0,0,0.029,6
274,0,0,0,0,0,0,0,0.029,6
275,0,0,0,0,0,0,0,0.029,6
276,0,0,0,0,0,0,0,0.029,6
277,0,0,0,0,0,0,0,0.029,6
278,0,0,0,0,0,0,0,0.029,6
279,0,0,0,0,0,0,0,0.029,6
280,0,0,0,0,0,0,0,0.029,6
281,0,0,0,0,0,0,0,0.029,6
282,0,0,0,0,0,0,0,0.029,6
283,0,0,0,0,0,0,0,0.029,6
284,0,0,0,0,0,0,0,0.029,6
285,0,0,0,0,0,0,0,0.029,6
286,0,0,0,0,0,0,0,0.029,6
287,0,0,0,0,0,0,0,0.029,6
288,0,0,0,0,0,0,0,0.029,6
289,0,0,0,0,0,0,0,0.029,6
290,0,0,0,0,0,0,0,0.029,6
291,0,0,0,0,0,0,0,0.029,6
292,0,0,0,0,0,0,0,0.029,6
293,0,0,0,0,0,0,0,0.029,6
294,0,0,0,0,0,0,0,0.029,6
295,0,0,0,0,0,0,0,0.029,6
296,0,0,0,0,0,0,0,0.029,6
297,0,0,0,0,0,0,0,0.029,6
298,0,0,0,0,0,0,0,0.029,6
299,0,0,0,0,0,0,0,0.029,6
300,0,0,0,0,0,0,0,0.029,6
301,0,0,0,0,0,0,0,0.029,6
302,0,0,0,0,0,0,0,0.029,6
303,0,0,0,0,0,0,0,0.029,6
304,0,0,0,0,0,0,0,0.029,6
305,0,0,0,0,0,0,0,0.029,6
306,0,0,0,0,0,0,0,0.029,6
307,0,0,0,0,0,0,0,0.029,6
308,0,0,0,0,0,0,0,0.029,6
309,0,0,0,0,0,0,0,0.029,6
310,0,0,0,0,0,0,0,0.029,6
311,0,0,0,0,0,0,0,0.029,6
312,0,0,0,0,0,0,0,0.029,6
313,0,0,0,0,0,0,0,0.029,6
314,0,0,0,0,0,0,0,0.029,6
315,0,0,0,0,0,0,0,0.029,6
316,0,0,0,0,0,0,0,0.029,6
317,0,0,0,0,0,0,0,0.029,6
318,0,0,0,0,0,0,0,0.029,6
319,0,0,0,0,0,0,0,0.029,6
320,0,0,0,0,0,0,0,0.029,6
321,0,0,0,0,0,0,0,0.029,6
322,0,0,0,0,0,0,0,0.029,6
323,0,0,0,0,0,0,0,0.029,6
324,0,0,0,0,0,0,0,0.029,6
325,0,0,0,0,0,0,0,0.029,6
326,0,0,0,0,0,0,0,0.029,6
327,0,0,0,0,0,0,0,0.029,6
328,0,0,0,0,0,0,0,0.029,6
329,0,0,0,0,0,0,0,0.029,6
330,0,0,0,0,0,0,0,0.029,6
331,0,0,0,0,0,0,0,0.029,6
332,0,0,0,0,0,0,0,0.029,6
333,0,0,0,0,0,0,0,0.029,6
334,0,0,0,0,0,0,0,0.029,6
335,0,0,0,0,0,0,0,0.029,6
336,0,0,0,0,0,0,0,0.029,6
337,0,0,0,0,0,0,0,0.029,6
338,0,0,0,0,0,0,0,0.029,6
339,0,0,0,0,0,0,0,0.029,6
340,0,0,0,0,0,0,0,0.029,6
341,0,0,0,0,0,0,0,0.029,6
342,0,0,0,0,0,0,0,0.029,6
343,0,0,0,0,0,0,0,0.029,6
344,0,0,0,0,0,0,0,0.029,6
345,0,0,0,0,0,0,0,0.029,6
346,0,0,0,0,0,0,0,0.029,6
347,0,0,0,0,0,0,0,0.029,6
348,0,0,0,0,0,0,0,0.029,6
349,0,0,0,0,0,0,0,0.029,6
350,0,0,0,0,0,0,0,0.029,6
351,0,0,0,0,0,0,0,0.029,6
352,0,0,0,0,0,0,0,0.029,6
353,0,0,0,0,0,0,0,0.029,6
354,0,0,0,0,0,0,0,0.029,6
355,0,0,0,0,0,0,0,0.029,6
356,0,0,0,0,0,0,0,0.029,6
357,0,0,0,0,0,0,0,0.029,6
358,0,0,0,0,0,0,0,0.029,6
359,0,0,0,0,0,0,0,0.029,6
360,0,0,0,0,0,0,0,0.029,6
361,0,0,0,0,0,0,0,0.029,6
362,0,0,0,0,0,0,0,0.029,6
363,0,0,0,0,0,0,0,0.029,6
364,0,0,0,0,0,0,0,0.029,6
365,0,0,0,0,0,0,0,0.029,6
366,0,0,0,0,0,0,0,0.029,6
367,0,0,0,0,0,0,0,0.029,6
368,0,0,0,0,0,0,0,0.029,6
369,0,0,0,0,0,0,0,0.029,6
370,0,0,0,0,0,0,0,0.029,6
371,0,0,0,0,0,0,0,0.029,6
372,0,0,0,0,0,0,0,0.029,6
373,0,0,0,0,0,0,0,0.029,6
374,0,0,0,0,0,0,0,0.029,6
375,0,0,0,0,0,0,0,0.029,6
376,0,0,0,0,0,0,0,0.029,6
377,0,0,0,0,0,0,0,0.029,6
378,0,0,0,0,0,0,0,0.029,6
379,0,0,0,0,0,0,0,0.029,6
380,0,0,0,0,0,0,0,0.029,6
381,0,0,0,0,0,0,0,0.029,6
382,0,0,0,0,0,0,0,0.029,6
383,0,0,0,0,0,0,0,0.029,6
384,0,0,0,0,0,0,0,0.029,6
385,0,0,0,0,0,0,0,0.029,6
386,0,0,0,0,0,0,0,0.029,6
387,0,0,0,0,0,0,0,0.029,6
388,0,0,0,0,0,0,0,0.029,6
389,0,0,0,0,0,0,0,0.029,6
390,0,0,0,0,0,0,0,0.029,6
391,0,0,0,0,0,0,0,0.029,6
392,0,0,0,0,0,0,0,0.029,6
393,0,0,0,0,0,0,0,0.029,6
394,0,0,0,0,0,0,0,0.029,6
395,0,0,0,0,0,0,0,0.029,6
396,0,0,0,0,0,0,0,0.029,6
397,0,0,0,0,0,0,0,0.029,6
398,0,0,0,0,0,0,0,0.029,6
399,0,0,0,0,0,0,0,0.029,6
400,0,0,0,0,0,0,0,0.029,6
401,0,0,0,0,0,0,0,0.029,6
402,0,0,0,0,0,0,0,0.029,6
403,0,0,0,0,0,0,0,0.029,6
404,0,0,0,0,0,0,0,0.029,6
405,0,0,0,0,0,0,0,0.029,6
406,0,0,0,0,0,0,0,0.029,6
407,0,0,0,0,0,0,0,0.029,6
408,0,0,0,0,0,0,0,0.029,6
409,0,0,0,0,0,0,0,0.029,6
410,0,0,0,0,0,0,0,0.029,6
411,0,0,0,0,0,0,0,0.029,6
412,0,0,0,0,0,0,0,0.029,6
413,0,0,0,0,0,0,0,0.029,6
414,0,0,0,0,0,0,0,0.029,6
415,0,0,0,0,0,0,0,0.029,6
416,0,0,0,0,0,0,0,0.029,6
417,0,0,0,0,0,0,0,0.029,6
418,0,0,0,0,0,0,0,0.029,6
419,0,0,0,0,0,0,0,0.029,6
420,0,0,0,0,0,0,0,0.029,6
421,0,0,0,0,0,0,0,0.029,6
422,0,0,0,0,0,0,0,0.029,6
423,0,0,0,0,0,0,0,0.029,6
424,0,0,0,0,0,0,0,0.029,6
425,0,0,0,0,0,0,0,0.029,6
426,0,0,0,0,0,0,0,0.029,6
427,0,0,0,0,0,0,0,0.029,6
428,0,0,0,0,0,0,0,0.029,6
429,0,0,0,0,0,0,0,0.029,6
430,0,0,0,0,0,0,0,0.029,6
431,0,0,0,0,0,0,0,0.029,6
432,0,0,0,0,0,0,0,0.029,6
433,0,0,0,0,0,0,0,0.029,6
434,0,0,0,0,0,0,0,0.029,6
435,0,0,0,0,0,0,0,0.029,6
436,0,0,0,0,0,0,0,0.029,6
437,0,0,0,0,0,0,0,0.029,6
438,0,0,0,0,0,0,0,0.029,6
439,0,0,0,0,0,0,0,0.029,6
440,0,0,0,0,0,0,0,0.029,6
441,0,0,0,0,0,0,0,0.029,6
442,0,0,0,0,0,0,0,0.029,6
443,0,0,0,0,0,0,0,0.029,6
444,0,0,0,0,0,0,0,0.029,6
445,0,0,0,0,0,0,0,0.029,6
446,0,0,0,0,0,0,0,0.029,6
447,0,0,0,0,0,0,0,0.029,6
448,0,0,0,0,0,0,0,0.029,6
449,0,0,0,0,0,0,0,0.029,6
450,0,0,0,0,0,0,0,0.029,6
451,0,0,0,0,0,0,0,0.029,6
452,0,0,0,0,0,0,0,0.029,6
453,0,0,0,0,0,0,0,0.029,6
454,0,0,0,0,0,0,0,0.029,6
455,0,0,0,0,0,0,0,0.029,6
456,0,0,0,0,0,0,0,0.029,6
457,0,0,0,0,0,0,0,0.029,6
458,0,0,0,0,0,0,0,0.029,6
459,0,0,0,0,0,0,0,0.029,6
460,0,0,0,0,0,0,0,0.029,6
461,0,0,0,0,0,0,0,0.029,6
462,0,0,0,0,0,0,0,0.029,6
463,0,0,0,0,0,0,0,0.029,6
464,0,0,0,0,0,0,0,0.029,6
465,0,0,0,0,0,0,0,0.029,6
466,0,0,0,0,0,0,0,0.029,6
467,0,0,0,0,0,0,0,0.029,6
